"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"68357","G17000100001001",170010001001,"65","6"
"68358","G17000100001002",170010001002,"81","8"
"68359","G17000100001003",170010001003,"88","9"
"68360","G17000100001004",170010001004,"84","8"
"68361","G17000100001005",170010001005,"80","8"
"68362","G17000100002011",170010002011,"80","8"
"68363","G17000100002012",170010002012,"85","9"
"68364","G17000100002021",170010002021,"80","8"
"68365","G17000100002022",170010002022,"86","9"
"68366","G17000100002023",170010002023,"84","8"
"68367","G17000100004001",170010004001,"81","8"
"68368","G17000100004002",170010004002,"97","10"
"68369","G17000100004003",170010004003,"99","10"
"68370","G17000100004004",170010004004,"GQ","GQ"
"68371","G17000100005001",170010005001,"94","10"
"68372","G17000100005002",170010005002,"94","10"
"68373","G17000100006001",170010006001,"75","7"
"68374","G17000100006002",170010006002,"72","7"
"68375","G17000100006003",170010006003,"79","8"
"68376","G17000100006004",170010006004,"54","5"
"68377","G17000100006005",170010006005,"55","5"
"68378","G17000100007001",170010007001,"86","9"
"68379","G17000100007002",170010007002,"89","9"
"68380","G17000100008001",170010008001,"99","10"
"68381","G17000100008002",170010008002,"100","10"
"68382","G17000100008003",170010008003,"99","10"
"68383","G17000100009001",170010009001,"92","9"
"68384","G17000100009002",170010009002,"86","9"
"68385","G17000100010011",170010010011,"85","9"
"68386","G17000100010012",170010010012,"86","9"
"68387","G17000100010013",170010010013,"78","8"
"68388","G17000100010021",170010010021,"80","8"
"68389","G17000100010022",170010010022,"72","7"
"68390","G17000100011001",170010011001,"73","7"
"68391","G17000100011002",170010011002,"64","6"
"68392","G17000100011003",170010011003,"46","4"
"68393","G17000100011004",170010011004,"42","4"
"68394","G17000100101001",170010101001,"83","8"
"68395","G17000100101002",170010101002,"76","7"
"68396","G17000100101003",170010101003,"72","7"
"68397","G17000100101004",170010101004,"69","7"
"68398","G17000100102001",170010102001,"82","8"
"68399","G17000100102002",170010102002,"78","8"
"68400","G17000100102003",170010102003,"84","8"
"68401","G17000100102004",170010102004,"91","9"
"68402","G17000100103011",170010103011,"57","5"
"68403","G17000100103012",170010103012,"49","4"
"68404","G17000100103013",170010103013,"60","6"
"68405","G17000100103021",170010103021,"70","7"
"68406","G17000100103022",170010103022,"71","7"
"68407","G17000100103023",170010103023,"82","8"
"68408","G17000100104001",170010104001,"56","5"
"68409","G17000100104002",170010104002,"59","5"
"68410","G17000100104003",170010104003,"66","6"
"68411","G17000100105001",170010105001,"56","5"
"68412","G17000100105002",170010105002,"46","4"
"68413","G17000100106001",170010106001,"54","5"
"68414","G17000100106002",170010106002,"40","3"
"68415","G17000100106003",170010106003,"70","7"
"68416","G17000100106004",170010106004,"67","6"
"68417","G17000309576001",170039576001,"91","9"
"68418","G17000309576002",170039576002,"79","8"
"68419","G17000309576003",170039576003,"97","10"
"68420","G17000309577001",170039577001,"89","9"
"68421","G17000309577002",170039577002,"97","10"
"68422","G17000309578001",170039578001,"100","10"
"68423","G17000309578002",170039578002,"99","10"
"68424","G17000309579001",170039579001,"100","10"
"68425","G17000309579002",170039579002,"99","10"
"68426","G17000509512001",170059512001,"57","5"
"68427","G17000509512002",170059512002,"56","5"
"68428","G17000509512003",170059512003,"92","9"
"68429","G17000509513001",170059513001,"82","8"
"68430","G17000509513002",170059513002,"79","8"
"68431","G17000509513003",170059513003,"GQ","GQ"
"68432","G17000509513004",170059513004,"90","9"
"68433","G17000509513005",170059513005,"GQ","GQ"
"68434","G17000509514001",170059514001,"95","10"
"68435","G17000509514002",170059514002,"67","6"
"68436","G17000509514003",170059514003,"82","8"
"68437","G17000509515001",170059515001,"91","9"
"68438","G17000509515002",170059515002,"72","7"
"68439","G17000509515003",170059515003,"52","5"
"68440","G17000509515004",170059515004,"87","9"
"68441","G17000700101011",170070101011,"61","6"
"68442","G17000700101012",170070101012,"76","7"
"68443","G17000700101021",170070101021,"78","8"
"68444","G17000700101022",170070101022,"73","7"
"68445","G17000700101023",170070101023,"90","9"
"68446","G17000700102001",170070102001,"81","8"
"68447","G17000700102002",170070102002,"88","9"
"68448","G17000700102003",170070102003,"78","8"
"68449","G17000700103001",170070103001,"79","8"
"68450","G17000700103002",170070103002,"87","9"
"68451","G17000700103003",170070103003,"83","8"
"68452","G17000700103004",170070103004,"94","10"
"68453","G17000700104001",170070104001,"67","6"
"68454","G17000700104002",170070104002,"54","5"
"68455","G17000700104003",170070104003,"53","5"
"68456","G17000700104004",170070104004,"58","5"
"68457","G17000700105011",170070105011,"23","2"
"68458","G17000700105012",170070105012,"23","2"
"68459","G17000700105021",170070105021,"66","6"
"68460","G17000700105022",170070105022,"48","4"
"68461","G17000700105023",170070105023,"38","3"
"68462","G17000700106011",170070106011,"33","3"
"68463","G17000700106012",170070106012,"45","4"
"68464","G17000700106013",170070106013,"66","6"
"68465","G17000700106031",170070106031,"43","4"
"68466","G17000700106032",170070106032,"29","2"
"68467","G17000700106033",170070106033,"42","4"
"68468","G17000700106034",170070106034,"34","3"
"68469","G17000700106041",170070106041,"66","6"
"68470","G17000700106042",170070106042,"65","6"
"68471","G17000700106043",170070106043,"65","6"
"68472","G17000909704001",170099704001,"77","8"
"68473","G17000909704002",170099704002,"74","7"
"68474","G17000909704003",170099704003,"79","8"
"68475","G17000909705001",170099705001,"81","8"
"68476","G17000909705002",170099705002,"GQ","GQ"
"68477","G17000909705003",170099705003,"90","9"
"68478","G17001109647001",170119647001,"68","7"
"68479","G17001109647002",170119647002,"77","8"
"68480","G17001109647003",170119647003,"86","9"
"68481","G17001109647004",170119647004,"91","9"
"68482","G17001109648001",170119648001,"87","9"
"68483","G17001109648002",170119648002,"83","8"
"68484","G17001109648003",170119648003,"63","6"
"68485","G17001109648004",170119648004,"82","8"
"68486","G17001109649001",170119649001,"84","8"
"68487","G17001109649002",170119649002,"79","8"
"68488","G17001109649003",170119649003,"90","9"
"68489","G17001109650001",170119650001,"65","6"
"68490","G17001109650002",170119650002,"88","9"
"68491","G17001109650003",170119650003,"96","10"
"68492","G17001109650004",170119650004,"90","9"
"68493","G17001109650005",170119650005,"92","9"
"68494","G17001109651001",170119651001,"75","7"
"68495","G17001109651002",170119651002,"84","8"
"68496","G17001109651003",170119651003,"80","8"
"68497","G17001109652001",170119652001,"84","8"
"68498","G17001109652002",170119652002,"88","9"
"68499","G17001109652003",170119652003,"83","8"
"68500","G17001109652004",170119652004,"70","7"
"68501","G17001109653001",170119653001,"85","9"
"68502","G17001109653002",170119653002,"77","8"
"68503","G17001109653003",170119653003,"77","8"
"68504","G17001109654001",170119654001,"83","8"
"68505","G17001109654002",170119654002,"80","8"
"68506","G17001109654003",170119654003,"67","6"
"68507","G17001109655001",170119655001,"89","9"
"68508","G17001109655002",170119655002,"48","4"
"68509","G17001109655003",170119655003,"89","9"
"68510","G17001109655004",170119655004,"71","7"
"68511","G17001109656001",170119656001,"88","9"
"68512","G17001109656002",170119656002,"86","9"
"68513","G17001109656003",170119656003,"83","8"
"68514","G17001109656004",170119656004,"84","8"
"68515","G17001309512001",170139512001,"78","8"
"68516","G17001309512002",170139512002,"81","8"
"68517","G17001309512003",170139512003,"80","8"
"68518","G17001309513001",170139513001,"43","4"
"68519","G17001309513002",170139513002,"60","6"
"68520","G17001509601001",170159601001,"47","4"
"68521","G17001509601002",170159601002,"86","9"
"68522","G17001509601003",170159601003,"84","8"
"68523","G17001509601004",170159601004,"87","9"
"68524","G17001509602001",170159602001,"68","7"
"68525","G17001509602002",170159602002,"74","7"
"68526","G17001509603001",170159603001,"96","10"
"68527","G17001509603002",170159603002,"96","10"
"68528","G17001509603003",170159603003,"92","9"
"68529","G17001509603004",170159603004,"95","10"
"68530","G17001509604001",170159604001,"87","9"
"68531","G17001509604002",170159604002,"92","9"
"68532","G17001509604003",170159604003,"85","9"
"68533","G17001509605001",170159605001,"82","8"
"68534","G17001509605002",170159605002,"84","8"
"68535","G17001509605003",170159605003,"87","9"
"68536","G17001509606001",170159606001,"82","8"
